ID,Initial microbial count,LOG Initial microbial count
4151,1.593014945,39.17553577
4152,0.397940009,2.5
4153,0.776362082,5.975332571
4155,0.397940009,2.5
4156,0.397940009,2.5
4158,0.397940009,2.5
4161,1.814345836,65.21475033
4162,0.397940009,2.5
4163,0.541105872,3.476208936
4166,0.397940009,2.5
4167,0.041796861,1.101024191
4168,-0.201161067,0.629272761
4169,0.397940009,2.5
4171,-1.354019812,0.044256818
4172,0.397940009,2.5
4173,0.839856575,6.916025329
4174,-0.489770298,0.323764853
4175,0.44485563,2.785195149
4176,1.042503285,11.02816575
4178,0.397940009,2.5
4179,-1.6036446,0.024908949
4180,0.397940009,2.5
4181,0.397940009,2.5
4183,0.397940009,2.5
4184,-0.477452607,0.333079108
4185,-0.509856837,0.30913143
4187,0.397940009,2.5
4188,0.397940009,2.5
4189,0.397940009,2.5
4190,0.397940009,2.5
4191,0.397940009,2.5
4192,0.397940009,2.5
4194,0.397940009,2.5
4196,-1.127697771,0.074525042
4197,0.85626273,7.182286579
4198,0.397940009,2.5
4199,0.800275745,6.313580825
4201,1.370943948,23.49329587
4202,0.952876452,8.971735297
4203,-0.127923108,0.744863841
4204,0.585361863,3.849123653
4206,0.985924957,9.681105588
4209,0.397940009,2.5
4210,0.089318489,1.2283397
4211,-0.309870123,0.489925311
4212,-0.253632679,0.557657209
4213,0.511341179,3.245945164
4214,0.604739492,4.024755405
4215,0.397940009,2.5
4216,0.397940009,2.5
4217,0.397940009,2.5
4218,0.397940009,2.5
4219,-0.520283502,0.301798098
4221,0.397940009,2.5
